Titre,Artiste
Prendre un enfant par la main,Yves Duteil
Ne me quitte pas,Jacques Brel
Les roses blanches,Berthe Sylva
Les Corons,Pierre Bachelet
La montagne,Jean Ferrat
Les feuilles mortes,Yves Montand
Comme d'habitude,Claude François
Petit papa Noël,Tino Rossi
Enfants de tous pays,Enrico Macias
Le chant des partisans,Anna Marly
La chanson de Lara,Tereza Kesovija
Parlez-moi d'amour,Lucienne Boyer
La mer,Charles Trenet
Belle-Île-en-Mer, Marie-Galante
Le déserteur,Marcel Mouloudji
Le plus beau tango du monde,Alibert (chanteur) & Germaine Roger
Mon vieux,Daniel Guichard
Chanson pour l'Auvergnat,Georges Brassens
La petite église,Jean Lumière
Y'a d'la joie,Charles Trenet
